                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.7617,                 3.7682,                 2.7437,                0.03663,                    0.9,                0.21376,                0.15304,                 1.2284,                 3.7715,                 2.3923,             0.00036911,             0.00036911,             0.00036911
                    119,                 1.8801,                 3.4721,                 2.8624,                0.03663,                    0.9,                0.21376,                0.15304,                 1.2284,                 3.7715,                 2.3923,              0.0003687,              0.0003687,              0.0003687
                    120,                 1.7479,                 3.4228,                 2.5976,                0.03935,                   0.95,                0.16232,                0.12136,                 1.1901,                 3.5417,                 2.2635,             0.00036829,             0.00036829,             0.00036829
                    121,                 1.6685,                 3.8719,                 2.6419,                0.03935,                   0.95,                0.16232,                0.12136,                 1.1901,                 3.5417,                 2.2635,             0.00036787,             0.00036787,             0.00036787
                    122,                 1.7695,                 3.7332,                 2.5311,                0.03467,                   0.95,                0.22488,                0.16934,                 1.1293,                 3.3224,                  2.152,             0.00036746,             0.00036746,             0.00036746
                    123,                 1.5467,                 3.4912,                 2.4405,                0.03467,                   0.95,                0.22488,                0.16934,                 1.1293,                 3.3224,                  2.152,             0.00036705,             0.00036705,             0.00036705
                    124,                   1.83,                 3.7393,                 2.6343,                0.02838,                   0.95,                0.30082,                0.18345,                 1.1787,                 3.0795,                 2.0673,             0.00036663,             0.00036663,             0.00036663
                    125,                 1.9909,                 3.8447,                  2.734,                0.02838,                   0.95,                0.30082,                0.18345,                 1.1787,                 3.0795,                 2.0673,             0.00036622,             0.00036622,             0.00036622
                    126,                 1.5678,                 3.2014,                 2.4419,                0.02966,                   0.95,                0.28437,                0.16965,                 1.1739,                 3.0228,                 2.0316,             0.00036581,             0.00036581,             0.00036581
                    127,                  1.634,                 3.3052,                 2.5867,                0.02966,                   0.95,                0.28437,                0.16965,                 1.1739,                 3.0228,                 2.0316,              0.0003654,              0.0003654,              0.0003654
                    128,                 1.4938,                 3.3213,                 2.4048,                0.51514,                0.45484,                0.27637,                0.16695,                 1.1688,                 2.9296,                 1.9641,             0.00036498,             0.00036498,             0.00036498
                    129,                 1.7977,                 3.4367,                 2.6775,                0.51514,                0.45484,                0.27637,                0.16695,                 1.1688,                 2.9296,                 1.9641,             0.00036457,             0.00036457,             0.00036457
                    130,                 1.7796,                 3.5034,                 2.7164,                0.40339,                   0.65,                0.30223,                0.20305,                 1.1243,                 2.9628,                 1.9107,             0.00036416,             0.00036416,             0.00036416
                    131,                 1.4978,                 3.0886,                 2.5806,                0.40339,                   0.65,                0.30223,                0.20305,                 1.1243,                 2.9628,                 1.9107,             0.00036374,             0.00036374,             0.00036374
                    132,                 1.4427,                 3.6193,                 2.3498,                0.34767,                 0.6217,                 0.3019,                0.21054,                 1.0167,                 3.0965,                 1.8435,             0.00036333,             0.00036333,             0.00036333
                    133,                 1.9169,                 3.6964,                  2.802,                0.34767,                 0.6217,                 0.3019,                0.21054,                 1.0167,                 3.0965,                 1.8435,             0.00036292,             0.00036292,             0.00036292
                    134,                 1.4597,                 3.3483,                 2.3356,                0.41113,                    0.6,                0.34769,                0.22197,                 1.1668,                 3.0645,                 1.9433,             0.00036251,             0.00036251,             0.00036251
                    135,                 1.2324,                 3.4631,                 2.1565,                0.41113,                    0.6,                0.34769,                0.22197,                 1.1668,                 3.0645,                 1.9433,             0.00036209,             0.00036209,             0.00036209
                    136,                 1.9362,                 3.6573,                 2.7635,                0.53583,                0.45191,                0.43186,                0.23945,                 1.3642,                 3.0585,                 2.0806,             0.00036168,             0.00036168,             0.00036168
                    137,                  1.547,                 3.5604,                 2.5864,                0.53583,                0.45191,                0.43186,                0.23945,                 1.3642,                 3.0585,                 2.0806,             0.00036127,             0.00036127,             0.00036127
                    138,                 1.9208,                 3.4274,                 2.6078,                0.67188,                    0.4,                0.45363,                0.25977,                 1.3902,                 3.0163,                 2.0736,             0.00036086,             0.00036086,             0.00036086
                    139,                  1.678,                 3.2934,                 2.5069,                0.67188,                    0.4,                0.45363,                0.25977,                 1.3902,                 3.0163,                 2.0736,             0.00036044,             0.00036044,             0.00036044
                    140,                 1.5232,                 3.4756,                 2.5863,                0.47376,                   0.35,                0.42146,                0.26512,                 1.3114,                 3.0552,                 2.0503,             0.00036003,             0.00036003,             0.00036003
                    141,                 1.3012,                 3.0992,                 2.3107,                0.47376,                   0.35,                0.42146,                0.26512,                 1.3114,                 3.0552,                 2.0503,             0.00035962,             0.00035962,             0.00035962
                    142,                 2.0237,                 3.8836,                 2.8605,                 0.0331,                   0.95,                0.37061,                0.25066,                 1.1903,                 3.1401,                 2.0805,              0.0003592,              0.0003592,              0.0003592
                    143,                 1.5267,                 3.4184,                 2.5154,                 0.0331,                   0.95,                0.37061,                0.25066,                 1.1903,                 3.1401,                 2.0805,             0.00035879,             0.00035879,             0.00035879
                    144,                 1.8017,                 3.9273,                 2.5672,                0.03438,                    0.9,                0.37729,                0.29133,                0.99721,                 3.2045,                 2.0933,             0.00035838,             0.00035838,             0.00035838
                    145,                 1.6505,                 3.6002,                 2.5603,                0.03438,                    0.9,                0.37729,                0.29133,                0.99721,                 3.2045,                 2.0933,             0.00035797,             0.00035797,             0.00035797
                    146,                 2.1127,                 3.7135,                 2.7246,                0.03556,                    0.9,                0.35287,                0.24717,                 1.0587,                 3.3361,                 2.1222,             0.00035755,             0.00035755,             0.00035755
                    147,                 1.5114,                 3.4005,                 2.3609,                0.03556,                    0.9,                0.35287,                0.24717,                 1.0587,                 3.3361,                 2.1222,             0.00035714,             0.00035714,             0.00035714
                    148,                 1.9828,                 4.1318,                 2.7033,                0.03737,                   0.95,                0.32725,                 0.2317,                0.96579,                 3.2116,                 1.9292,             0.00035673,             0.00035673,             0.00035673
                    149,                 2.0247,                 3.4968,                 2.7389,                0.03737,                   0.95,                0.32725,                 0.2317,                0.96579,                 3.2116,                 1.9292,             0.00035631,             0.00035631,             0.00035631
                    150,                 1.4915,                 3.3677,                 2.2998,                0.03148,                   0.95,                 0.3799,                0.30422,                0.85078,                 2.9913,                  1.755,              0.0003559,              0.0003559,              0.0003559
                    151,                 1.8111,                 3.7884,                 2.6667,                0.03148,                   0.95,                 0.3799,                0.30422,                0.85078,                 2.9913,                  1.755,             0.00035549,             0.00035549,             0.00035549
